GO_ID	ClusterID	ClusterName
GO:0030684	1	Gene-Expression Complexes
GO:0030689	1	Gene-Expression Complexes
GO:0031090	0	Membrane & Organelle
GO:0031248	2	Nuclear Enzyme Complexes
GO:0031261	1	Gene-Expression Complexes
GO:0031371	2	Nuclear Enzyme Complexes
GO:0031414	2	Nuclear Enzyme Complexes
GO:0031903	0	Membrane & Organelle
GO:0031966	0	Membrane & Organelle
GO:0031967	0	Membrane & Organelle
GO:0031970	0	Membrane & Organelle
GO:0031974	0	Membrane & Organelle
GO:0032010	0	Membrane & Organelle
GO:0032045	2	Nuclear Enzyme Complexes
GO:0032476	2	Nuclear Enzyme Complexes
GO:0032993	1	Gene-Expression Complexes
GO:0033202	2	Nuclear Enzyme Complexes
GO:0033648	0	Membrane & Organelle
GO:0034357	0	Membrane & Organelle
GO:0034518	2	Nuclear Enzyme Complexes
GO:0034708	2	Nuclear Enzyme Complexes
GO:0035032	2	Nuclear Enzyme Complexes
GO:0035770	0	Membrane & Organelle
GO:0036452	1	Gene-Expression Complexes
GO:0036464	0	Membrane & Organelle
GO:0042579	0	Membrane & Organelle
GO:0043005	0	Membrane & Organelle
GO:0043189	2	Nuclear Enzyme Complexes
GO:0043226	0	Membrane & Organelle
GO:0043233	0	Membrane & Organelle
GO:0044391	1	Gene-Expression Complexes
GO:0045240	2	Nuclear Enzyme Complexes
GO:0061695	2	Nuclear Enzyme Complexes
GO:0070013	0	Membrane & Organelle
GO:0070069	2	Nuclear Enzyme Complexes
GO:0070993	1	Gene-Expression Complexes
GO:0071010	1	Gene-Expression Complexes
GO:0090533	3	Membrane Transport & Vesicle
GO:0090575	1	Gene-Expression Complexes
GO:0090734	0	Membrane & Organelle
GO:0097525	1	Gene-Expression Complexes
GO:0097732	0	Membrane & Organelle
GO:0098533	3	Membrane Transport & Vesicle
GO:0098588	0	Membrane & Organelle
GO:0098687	0	Membrane & Organelle
GO:0098796	3	Membrane Transport & Vesicle
GO:0098800	3	Membrane Transport & Vesicle
GO:0098852	0	Membrane & Organelle
GO:0099081	0	Membrane & Organelle
GO:0099512	0	Membrane & Organelle
GO:0099513	0	Membrane & Organelle
GO:0101031	2	Nuclear Enzyme Complexes
GO:0106068	2	Nuclear Enzyme Complexes
GO:0120025	0	Membrane & Organelle
GO:0140534	1	Gene-Expression Complexes
GO:0140535	2	Nuclear Enzyme Complexes
GO:0150005	1	Gene-Expression Complexes
GO:1902493	2	Nuclear Enzyme Complexes
GO:1902494	2	Nuclear Enzyme Complexes
GO:1902495	3	Membrane Transport & Vesicle
GO:1902554	2	Nuclear Enzyme Complexes
